"BME280","BME280","BME280COMPONENTLIBRARY_BME280","BME280COMPONENTLIBRARY_BME280_LGA"," ","1"
"EC3, EC4, XC1, XC2, XC3","100nf","CERAMIC-100NF-50V-10%-X7R(0603)","C0603","302010138","5"
"MPU9250","MPU-9250","MOTION/POSITION-MPU-9250(QFN24)","QFN24G-0.4-3X3MM","314990005","1"
"R_SCL, R_SDA","4.7K","SMD-RES-4.7K-5%-1/10W(0603)","R0603","301010290","2"
"R_SW","10K","SMD-RES-10K-1%-1/10W(0603)","R0603","301010299","1"
"S1","B3U-1000P","SMD-BUTTON-WITHOUT-BOSS-(2P-3X2.5MM)","SW2-SMD-3.0X2.5X1.2+0.4MM","311020047","1"
